1	0.0674
2	0.2019
3	0.1006
4	0.0594
5	0.0027
6	0.0024
7	0.1116
8	0.0123
9	0.0821
10	0.0287
11	0.2125
12	0.0411
13	0.0537
14	0.0455
15	0.2217
16	0.1585
17	0.0712
18	0.101
19	0
20	0
21	0.2773
22	0.3108
23	0.0048
24	0.0808
25	0.1694
26	0.1014
27	0.1012
28	0.1619
29	0.0101
30	0.1146
31	0.2842
32	0.035
33	0.2794
34	0.0195
35	0.3383
36	0.0461
37	0.0349
38	0.0512
39	0.0618
40	0.0397
41	0.0596
42	0.0037
43	0.2192
44	0.0243
45	0.1316
46	0.322
47	0.1519
48	0.0287
49	0.1548
50	0.0183
51	0.2277
52	0.1466
53	0.0522
54	0.1551
55	0.0908
56	0.0114
57	0.213
58	0.0831
59	0.0135
60	0.1585
61	0.0356
62	0.3848
63	0.1087
64	0.117
65	0.1988
66	0.0016
67	0.1438
68	0.055
69	0.1316
70	0
71	0.0011
72	0.0007
73	0.2358
74	0.0172
75	0.3522
76	0.2067
77	0.0372
78	0.0027
79	0.0486
80	0.1271
81	0.0531
82	0.0449
83	0
84	0.3805
85	0.0534
86	0.3981
87	0.0179
88	0.0969
89	0.2348
90	0.092
91	0.0464
92	0.0004
93	0.0468
94	0.0102
96	0.0917
97	0.0248
98	0.0682
99	0.017
101	0.0728
102	0.0021
103	0.0637
104	0.0239
105	0.0854
106	0.0114
107	0.0312
108	0.4834
109	0.0026
110	0.0612
111	0.3742
112	0
113	0.0043
114	0.0212
115	0.125
116	0.1279
117	0.1544
118	0.0672
119	0.1086
120	0.0296
121	0.0666
122	0.0169
123	0.2417
124	0.0611
125	0.1267
126	0.0007
127	0.2252
128	0.0548
129	0.0026
130	0.2881
131	0.0109
132	0.0206
133	0.0554
134	0.0022
135	0.0076
136	0
137	0.145
138	0.1868
139	0.0282
140	0.0008
141	0.1089
142	0.1472
143	0
144	0.0961
145	0.1029
146	0.1648
147	0.3454
148	0.2446
149	0.1531
150	0.0061
151	0.0996
152	0
153	0.2921
154	0.0418
155	0.2128
156	0.1082
157	0.0714
158	0.4015
159	0.2459
160	0.0122
161	0.0283
162	0.0346
163	0.0303
164	0.0329
165	0.0018
166	0.0051
167	0.0186
168	0.2925
169	0.0868
170	0.0055
171	0.1245
172	0.2168
173	0.3259
174	0.1006
175	0.0255
176	0.0004
177	0.0852
178	0.0581
179	0.0217
180	0.0056
181	0.0244
182	0.1327
183	0.0042
184	0.1485
185	0.0214
186	0.0491
187	0.0894
188	0.0058
189	0.0168
190	0.0651
191	0.074
192	0.0399
193	0.1044
194	0.8362
195	0.0104
196	0.1724
197	0.1574
198	0.2042
199	0.0132
200	0.1905
